συκοφαντιῶν N1A-GPF--- συκοφαντία
ἔπινον V1I-IAI3P- πίνω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός

Amo 2:9
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἐξῆρα VAI-AAI1S- αἴρω ἐκ
τὸν RA--ASM--- ὁ
Αμορραῖον N2--ASM--- Ἀμορραῖος
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
οὗ RR--GSM--- ὅς
ἦν V9--IAI3S- εἰμί
καθὼς D--------- καθώς
ὕψος N3E-NSN--- ὕψος
κέδρου N2--GSF--- κέδρος
τὸ RA--NSN--- ὁ
ὕψος N3E-NSN--- ὕψος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἰσχυρὸς A1A-NSM--- ἰσχυρός
ἦν V9--IAI3S- εἰμί
ὡς C--------- ὡς
δρῦς N3U-NSF--- δρῦς
καὶ C--------- καί
ἐξῆρα VAI-AAI1S- αἴρω ἐκ
τὸν RA--ASM--- ὁ
καρπὸν N2--ASM--- καρπός
αὐτοῦ RD--GSM--- αὐτός
ἐπάνωθεν D--------- ἐπάνωθεν
καὶ C--------- καί
τὰς RA--APF--- ὁ
ῥίζας N1S-APF--- ῥίζα
αὐτοῦ RD--GSM--- αὐτός
ὑποκάτωθεν P--------- ὑποκάτωθεν

Amo 2:10
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἀνήγαγον VBI-AAI1S- ἄγω ἀνα
ὑμᾶς RP--AP---- σύ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
περιήγαγον VBI-AAI1S- ἄγω περι
ὑμᾶς RP--AP---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος
τεσσαράκοντα M--------- τεσσαράκοντα
ἔτη N3E-APN--- ἔτος
τοῦ RA--GSN--- ὁ
κατακληρονομῆσαι VA--AAN--- κληρονομέω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
τῶν RA--GPM--- ὁ
Αμορραίων N2--GPM--- Ἀμορραῖος

Amo 2:11
καὶ C--------- καί
ἔλαβον VBI-AAI1S- λαμβάνω
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
προφήτας N1M-APM--- προφήτης
καὶ C--------- καί
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
νεανίσκων N2--GPM--- νεανίσκος
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
ἁγιασμόν N2--ASM--- ἁγιασμός
μὴ D--------- μή
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ταῦτα RD--NPN--- οὗτος
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Amo 2:12
καὶ C--------- καί
ἐποτίζετε V1I-IAI2P- ποτίζω
τοὺς RA--APM--- ὁ
ἡγιασμένους VT--XMPAPM ἁγιάζω
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
προφήταις N1M-DPM--- προφήτης
ἐνετέλλεσθε V1I-IMI2P- τέλλομαι ἐν
λέγοντες V1--PAPNPM λέγω
οὐ D--------- οὐ
μὴ D--------- μή
προφητεύσητε VA--AAS2P- προφητεύω

Amo 2:13
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
κυλίω V1--PAI1S- κυλίω
ὑποκάτω P--------- ὑποκάτω
ὑμῶν RP--GP---- σύ
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
κυλίεται V1--PPI3S- κυλίω
ἡ RA--NSF--- ὁ
ἅμαξα N1S-NSF--- ἅμαξα
ἡ RA--NSF--- ὁ
γέμουσα V1--PAPNSF γέμω
καλάμης N1--GSF--- καλάμη

Amo 2:14
καὶ C--------- καί
ἀπολεῖται VF2-FMI3S- ὀλλύω ἀπο
φυγὴ N1--NSF--- φυγή
ἐκ P--------- ἐκ
δρομέως N3V-GSM--- δρομεύς
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κραταιὸς A1A-NSM--- κραταιός
οὐ D--------- οὐ
μὴ D--------- μή
κρατήσῃ VA--AAS3S- κρατέω
τῆς RA--GSF--- ὁ
ἰσχύος N3U-GSF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
μαχητὴς N1M-NSM--- μαχητής
οὐ D--------- οὐ
μὴ D--------- μή
σώσῃ VA--AAS3S- σώζω
τὴν RA--ASF--- ὁ
ψυχὴν N1--ASF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός

Amo 2:15
καὶ C--------- καί
ὁ RA--NSM--- ὁ
τοξότης N1M-NSM--- τοξότης
οὐ D--------- οὐ
μὴ D--------- μή
ὑποστῇ VH--AAS3S- ἵστημι ὑπο
