Cant 1:1
ἡμῶν RP--GP---- ἐγώ
παρακύπτων V1--PAPNSM κύπτω παρα
διὰ P--------- διά
τῶν RA--GPF--- ὁ
θυρίδων N3D-GPF--- θυρίς
ἐκκύπτων V1--PAPNSM κύπτω ἐκ
διὰ P--------- διά
τῶν RA--GPN--- ὁ
δικτύων N2N-GPN--- δίκτυον

Cant 2:10
ἀποκρίνεται V1--PMI3S- κρίνω ἀπο
ἀδελφιδός N2--NSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
καὶ C--------- καί
λέγει V1--PAI3S- λέγω
μοι RP--DS---- ἐγώ
ἀνάστα VH--AAD2S- ἵστημι ἀνα
ἐλθέ VB--AAD2S- ἔρχομαι
ἡ RA--VSF--- ὁ
πλησίον D--------- πλησίον
μου RP--GS---- ἐγώ
καλή A1--VSF--- καλός
μου RP--GS---- ἐγώ
περιστερά N1A-VSF--- περιστερά
μου RP--GS---- ἐγώ

Cant 2:11
ὅτι C--------- ὅτι
ἰδοὺ I--------- ἰδού
ὁ RA--NSM--- ὁ
χειμὼν N3W-NSM--- χειμών
παρῆλθεν VBI-AAI3S- ἔρχομαι παρα
ὁ RA--NSM--- ὁ
ὑετὸς N2--NSM--- ὑετός
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
ἐπορεύθη VCI-API3S- πορεύομαι
ἑαυτῷ RD--DSM--- ἑαυτοῦ

Cant 2:12
τὰ RA--NPN--- ὁ
ἄνθη N3E-NPN--- ἄνθος
ὤφθη VVI-API3S- ὁράω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
καιρὸς N2--NSM--- καιρός
τῆς RA--GSF--- ὁ
τομῆς N1--GSF--- τομή
ἔφθακεν VX--XAI3S- φθάνω
φωνὴ N1--NSF--- φωνή
τοῦ RA--GSM--- ὁ
τρυγόνος N3N-GSF--- τρυγών
ἠκούσθη VCI-API3S- ἀκούω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ἡμῶν RP--GP---- ἐγώ

Cant 2:13
ἡ RA--NSF--- ὁ
συκῆ N1--NSF--- συκῆ
ἐξήνεγκεν VAI-AAI3S- φέρω ἐκ
ὀλύνθους N2--APM--- ὄλυνθος
αὐτῆς RD--GSF--- αὐτός
αἱ RA--NPF--- ὁ
ἄμπελοι N2--NPF--- ἄμπελος
κυπρίζουσιν V1--PAI3P- κυπρίζω
ἔδωκαν VAI-AAI3P- δίδωμι
ὀσμήν N1--ASF--- ὀσμή
ἀνάστα VH--AAD2S- ἵστημι ἀνα
ἐλθέ VB--AAD2S- ἔρχομαι
ἡ RA--VSF--- ὁ
πλησίον D--------- πλησίον
μου RP--GS---- ἐγώ
καλή A1--VSF--- καλός
μου RP--GS---- ἐγώ
περιστερά N1A-VSF--- περιστερά
μου RP--GS---- ἐγώ

Cant 2:14
καὶ C--------- καί
ἐλθὲ VB--AAD2S- ἔρχομαι
σύ RP--NS---- σύ
περιστερά N1A-VSF--- περιστερά
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
σκέπῃ N1--DSF--- σκέπης
τῆς RA--GSF--- ὁ
πέτρας N1A-GSF--- πέτρα
ἐχόμενα V1--PMPNSN ἔχω
τοῦ RA--GSN--- ὁ
προτειχίσματος N3M-GSN--- προτείχισμα
δεῖξόν VA--AAD2S- δεικνύω
μοι RP--DS---- ἐγώ
τὴν RA--ASF--- ὁ
ὄψιν N3I-ASF--- ὄψις
σου RP--GS---- σύ
καὶ C--------- καί
ἀκούτισόν VA--AAD2S- ἀκουτίζω
με RP--AS---- ἐγώ
τὴν RA--ASF--- ὁ
φωνήν N1--ASF--- φωνή
σου RP--GS---- σύ
ὅτι C--------- ὅτι
ἡ RA--NSF--- ὁ
φωνή N1--NSF--- φωνή
σου RP--GS---- σύ
ἡδεῖα A3U-NSF--- ἡδύς
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὄψις N3I-NSF--- ὄψις
σου RP--GS---- σύ
ὡραία A1A-APN--- ὡραῖος

Cant 2:15
πιάσατε VA--AAD2P- πιάζω
ἡμῖν RP--DP---- ἐγώ
ἀλώπεκας N3K-APF--- ἀλώπηξ
μικροὺς A1A-APM--- μικρός
ἀφανίζοντας V1--PAPAPM ἵζω ἀπο ἀνα
ἀμπελῶνας N3W-APM--- ἀμπελών
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἄμπελοι N2--NPF--- ἄμπελος
ἡμῶν RP--GP---- ἐγώ
κυπρίζουσιν V1--PAI3P- κυπρίζω

Cant 2:16
ἀδελφιδός N2--NSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
ἐμοί RP--DS---- ἐγώ
κἀγὼ C+RPNS---- καί+ἐγώ
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
ποιμαίνων V1--PAPNSM ποιμαίνω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
κρίνοις N2N-DPN--- κρίνον

Cant 2:17
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
διαπνεύσῃ VA--AAS3S- πνέω δια
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
καὶ C--------- καί
κινηθῶσιν VC--APS3P- κινέω
αἱ RA--NPF--- ὁ
σκιαί N1A-NPF--- σκιά
ἀπόστρεψον VA--AAD2S- στρέφω ἀπο
ὁμοιώθητι VC--APD2S- ὁμοιόω
σύ RP--NS---- σύ
ἀδελφιδέ N2--VSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
τῷ RA--DSM--- ὁ
δόρκωνι N3W-DSM--- δόρκων
ἢ C--------- ἤ
νεβρῷ N2--DSM--- νεβρός
ἐλάφων N2--GPM--- ἔλαφος
