2Ma 1:1
δὲ X--------- δέ
λοιπῶν A1--GPM--- λοιπός
ἐπιφωνούντων V2--PAPGPM φωνέω ἐπι
ὡς C--------- ὡς
Νεεμιου N1T-GSM--- Νεεμιας

2Ma 1:24
ἦν V9--IAI3S- εἰμί
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
προσευχὴ N1--NSF--- προσευχή
τὸν RA--ASM--- ὁ
τρόπον N2--ASM--- τρόπος
ἔχουσα V1--PAPNSF ἔχω
τοῦτον RD--ASM--- οὗτος
κύριε N2--VSM--- κύριος
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ὁ RA--NSM--- ὁ
πάντων A3--GPM--- πᾶς
κτίστης N1M-NSM--- κτίστης
ὁ RA--NSM--- ὁ
φοβερὸς A1A-NSM--- φοβερός
καὶ C--------- καί
ἰσχυρὸς A1A-NSM--- ἰσχυρός
καὶ C--------- καί
δίκαιος A1A-NSM--- δίκαιος
καὶ C--------- καί
ἐλεήμων A3N-NSM--- ἐλεήμων
ὁ RA--NSM--- ὁ
μόνος A1--NSM--- μόνος
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
χρηστός A1--NSM--- χρηστός

2Ma 1:25
ὁ RA--NSM--- ὁ
μόνος A1--NSM--- μόνος
χορηγός N2--NSM--- χορηγός
ὁ RA--NSM--- ὁ
μόνος A1--NSM--- μόνος
δίκαιος A1A-NSM--- δίκαιος
καὶ C--------- καί
παντοκράτωρ N3R-NSM--- παντοκράτωρ
καὶ C--------- καί
αἰώνιος A1B-NSM--- αἰώνιος
ὁ RA--NSM--- ὁ
διασῴζων V1--PAPNSM σώζω δια
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
ἐκ P--------- ἐκ
παντὸς A3--GSM--- πᾶς
κακοῦ A1--GSM--- κακός
ὁ RA--NSM--- ὁ
ποιήσας VA--AAPNSM ποιέω
τοὺς RA--APM--- ὁ
πατέρας N3--APM--- πατήρ
ἐκλεκτοὺς A1--APM--- ἐκλεκτός
καὶ C--------- καί
ἁγιάσας VA--AAPNSM ἁγιάζω
αὐτούς RD--APM--- αὐτός

2Ma 1:26
πρόσδεξαι VA--AMD2S- δέχομαι προς
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
ὑπὲρ P--------- ὑπέρ
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
σου RP--GS---- σύ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
διαφύλαξον VA--AAD2S- φυλάσσω δια
τὴν RA--ASF--- ὁ
μερίδα N3D-ASF--- μερίς
σου RP--GS---- σύ
καὶ C--------- καί
καθαγίασον VA--AAD2S- ἁγιάζω κατα

2Ma 1:27
ἐπισυνάγαγε VB--AAD2S- ἄγω ἐπι συν
τὴν RA--ASF--- ὁ
διασπορὰν N1A-ASF--- διασπορά
ἡμῶν RP--GP---- ἐγώ
ἐλευθέρωσον VA--AAD2S- ἐλευθερέω
τοὺς RA--APM--- ὁ
δουλεύοντας V1--PAPAPM δουλεύω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
τοὺς RA--APM--- ὁ
ἐξουθενημένους V2--PMPAPM ἐξουθενέω
καὶ C--------- καί
βδελυκτοὺς A1--APM--- βδελυκτός
ἔπιδε VA--AAD2S- εἶδον ἐπι
καὶ C--------- καί
γνώτωσαν VZ--AAD3P- γιγνώσκω
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
εἶ V9--PAI2S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ

2Ma 1:28
βασάνισον VA--AAD2S- βασανίζω
τοὺς RA--APM--- ὁ
καταδυναστεύοντας V1--PAPAPM δυναστεύω κατα
καὶ C--------- καί
ἐξυβρίζοντας V1--PAPAPM ὑβρίζω ἐκ
ἐν P--------- ἐν
ὑπερηφανίᾳ N1A-DSF--- ὑπερηφανία

2Ma 1:29
καταφύτευσον VA--AAD2S- φυτεύω κατα
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
τὸν RA--ASM--- ὁ
ἅγιόν A1A-ASM--- ἅγιος
σου RP--GS---- σύ
καθὼς D--------- καθώς
εἶπεν VBI-AAI3S- εἶπον
Μωυσῆς N1M-NSM--- Μωυσῆς

2Ma 1:30
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἱερεῖς N3V-NPM--- ἱερεύς
ἐπέψαλλον V1I-IAI3P- ψάλλω ἐπι
τοὺς RA--APM--- ὁ
ὕμνους N2--APM--- ὕμνος

2Ma 1:31
καθὼς D--------- καθώς
δὲ X--------- δέ
ἀνηλώθη VCI-API3S- ἁλίσκω ἀνα
τὰ RA--APN--- ὁ
τῆς RA--GSF--- ὁ
θυσίας N1A-GSF--- θυσία
καὶ C--------- καί
τὸ RA--ASN--- ὁ
περιλειπόμενον V1--PMPASN λείπω περι
ὕδωρ N3--ASN--- ὕδωρ
ὁ RA--NSM--- ὁ
Νεεμιας N1T-NSM--- Νεεμιας
ἐκέλευσεν VAI-AAI3S- κελεύω
λίθους N2--APM--- λίθος
μείζονας A3C-APM--- μέγας
καταχεῖν V1--PAN--- ἐχω κατα

2Ma 1:32
ὡς C--------- ὡς
δὲ X--------- δέ
τοῦτο RD--NSN--- οὗτος
ἐγενήθη VCI-API3S- γίγνομαι
φλὸξ N3G-NSF--- φλόξ
ἀνήφθη VCI-API3S- ἅπτω ἀνα
