Mal 1:1
ὑμῶν RP--GP---- σύ
τοῦ RA--GSN--- ὁ
δοῦναι VO--AAN--- δίδωμι
δόξαν N1S-ASF--- δόξα
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
μου RP--GS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
τὴν RA--ASF--- ὁ
κατάραν N1A-ASF--- κατάρα
καὶ C--------- καί
ἐπικαταράσομαι VF--FMI1S- ἀράομαι ἐπι κατα
τὴν RA--ASF--- ὁ
εὐλογίαν N1A-ASF--- εὐλογία
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
καταράσομαι VF--FMI1S- ἀράομαι κατα
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
διασκεδάσω VA--AAS1S- σκεδάζω δια
τὴν RA--ASF--- ὁ
εὐλογίαν N1A-ASF--- εὐλογία
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται V9--FMI3S- εἰμί
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
ὅτι C--------- ὅτι
ὑμεῖς RP--NP---- σύ
οὐ D--------- οὐ
τίθεσθε V7--PMI2P- τίθημι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
ὑμῶν RP--GP---- σύ

Mal 2:3
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἀφορίζω V1--PAI1S- ὁρίζω ἀπο
ὑμῖν RP--DP---- σύ
τὸν RA--ASM--- ὁ
ὦμον N2--ASM--- ὦμος
καὶ C--------- καί
σκορπιῶ VF2-FAI1S- σκορπίζω
ἤνυστρον N2N-ASN--- ἤνυστρον
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
πρόσωπα N2N-APN--- πρόσωπον
ὑμῶν RP--GP---- σύ
ἤνυστρον N2N-ASN--- ἤνυστρον
ἑορτῶν N1--GPF--- ἑορτή
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
λήμψομαι VF--FMI1S- λαμβάνω
ὑμᾶς RP--AP---- σύ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
αὐτό RD--ASN--- αὐτός

Mal 2:4
καὶ C--------- καί
ἐπιγνώσεσθε VF--FMI2P- γιγνώσκω ἐπι
διότι C--------- διότι
ἐγὼ RP--NS---- ἐγώ
ἐξαπέσταλκα VX--XAI1S- στέλλω ἐκ ἀπο
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
τὴν RA--ASF--- ὁ
ἐντολὴν N1--ASF--- ἐντολή
ταύτην RD--ASF--- οὗτος
τοῦ RA--GSN--- ὁ
εἶναι V9--PAN--- εἰμί
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
Λευίτας N1M-APM--- Λευίτης
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Mal 2:5
ἡ RA--NSF--- ὁ
διαθήκη N1--NSF--- διαθήκη
μου RP--GS---- ἐγώ
ἦν V9--IAI3S- εἰμί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
καὶ C--------- καί
τῆς RA--GSF--- ὁ
εἰρήνης N1--GSF--- εἰρήνη
καὶ C--------- καί
ἔδωκα VAI-AAI1S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
φόβῳ N2--DSM--- φόβος
φοβεῖσθαί V2--PMN--- φοβέω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὀνόματός N3M-GSN--- ὄνομα
μου RP--GS---- ἐγώ
στέλλεσθαι V1--PMN--- στέλλω
αὐτόν RD--ASM--- αὐτός

Mal 2:6
νόμος N2--NSM--- νόμος
ἀληθείας N1A-GSF--- ἀλήθεια
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στόματι N3M-DSN--- στόμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀδικία N1A-NSF--- ἀδικία
οὐχ D--------- οὐ
εὑρέθη VC--API3S- εὑρίσκω
ἐν P--------- ἐν
χείλεσιν N3E-DPN--- χεῖλος
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
εἰρήνῃ N1--DSF--- εἰρήνη
κατευθύνων V1--PAPNSM εὐθύνω κατα
ἐπορεύθη VCI-API3S- πορεύομαι
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
πολλοὺς A1--APM--- πολύς
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
ἀπὸ P--------- ἀπό
ἀδικίας N1A-GSF--- ἀδικία

Mal 2:7
ὅτι C--------- ὅτι
χείλη N3E-NPN--- χεῖλος
ἱερέως N3V-GSM--- ἱερεύς
φυλάξεται VF--FMI3S- φυλάσσω
γνῶσιν N3I-ASF--- γνῶσις
καὶ C--------- καί
νόμον N2--ASM--- νόμος
ἐκζητήσουσιν VF--FAI3P- ζητέω ἐκ
ἐκ P--------- ἐκ
στόματος N3M-GSN--- στόμα
αὐτοῦ RD--GSM--- αὐτός
διότι C--------- διότι
ἄγγελος N2--NSM--- ἄγγελος
κυρίου N2--GSM--- κύριος
παντοκράτορός N3R-GSM--- παντοκράτωρ
ἐστιν V9--PAI3S- εἰμί

Mal 2:8
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
ἐξεκλίνατε VAI-AAI2P- κλίνω ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
καὶ C--------- καί
πολλοὺς A1--APM--- πολύς
ἠσθενήσατε VAI-AAI2P- ἀσθενέω
ἐν P--------- ἐν
νόμῳ N2--DSM--- νόμος
διεφθείρατε VAI-AAI2P- φθείρω δια
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
τοῦ RA--GSM--- ὁ
Λευι N---GSM--- Λευί
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
