Hag 1:1
ἐνώπιον P--------- ἐνώπιον
ὑμῶν RP--GP---- σύ

Hag 2:4
καὶ C--------- καί
νῦν D--------- νῦν
κατίσχυε V1--PAD2S- ἰσχύω κατα
Ζοροβαβελ N---VSM--- Ζοροβαβελ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
κατίσχυε V1--PAD2S- ἰσχύω κατα
Ἰησοῦ N---VSM--- Ἰησοῦς
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ιωσεδεκ N---GSM--- Ιωσεδεκ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
ὁ RA--NSM--- ὁ
μέγας A1P-NSM--- μέγας
καὶ C--------- καί
κατισχυέτω V1--PAD3S- ἰσχύω κατα
πᾶς A1S-NSM--- πᾶς
ὁ RA--NSM--- ὁ
λαὸς N2--VSM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ποιεῖτε V2--PAD2P- ποιέω
διότι C--------- διότι
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Hag 2:5
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πνεῦμά N3M-NSN--- πνεῦμα
μου RP--GS---- ἐγώ
ἐφέστηκεν VXI-XAI3S- ἵστημι ἐπι
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
ὑμῶν RP--GP---- σύ
θαρσεῖτε V2--PAD2P- θαρρέω

Hag 2:6
διότι C--------- διότι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
ἔτι D--------- ἔτι
ἅπαξ D--------- ἅπαξ
ἐγὼ RP--NS---- ἐγώ
σείσω VF--FAI1S- σείω
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
θάλασσαν N1S-ASF--- θάλασσα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ξηράν A1A-ASF--- ξηρός

Hag 2:7
καὶ C--------- καί
συσσείσω VF--FAI1S- σείω συν
πάντα A1S-APN--- πᾶς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
ἥξει VF--FAI3S- ἥκω
τὰ RA--APN--- ὁ
ἐκλεκτὰ A1--APN--- ἐκλεκτός
πάντων A1S-GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
πλήσω VF--FAI1S- πίμπλημι
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦτον RD--ASM--- οὗτος
δόξης N1S-GSF--- δόξα
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Hag 2:8
ἐμὸν A1--NSN--- ἐμός
τὸ RA--NSN--- ὁ
ἀργύριον N2N-NSN--- ἀργύριον
καὶ C--------- καί
ἐμὸν A1--NSN--- ἐμός
τὸ RA--NSN--- ὁ
χρυσίον N2N-NSN--- χρυσίον
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Hag 2:9
διότι C--------- διότι
μεγάλη A1--NSF--- μέγας
ἔσται V9--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
τούτου RD--GSM--- οὗτος
ἡ RA--NSF--- ὁ
ἐσχάτη A1--NSF--- ἔσχατος
ὑπὲρ P--------- ὑπέρ
τὴν RA--ASF--- ὁ
πρώτην A1--ASF--- πρῶτος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος
δώσω VF--FAI1S- δίδωμι
εἰρήνην N1--ASF--- εἰρήνη
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
καὶ C--------- καί
εἰρήνην N1--ASF--- εἰρήνη
ψυχῆς N1--GSF--- ψυχή
εἰς P--------- εἰς
περιποίησιν N3I-ASF--- περιποίησις
παντὶ A1S-DSM--- πᾶς
τῷ RA--DSM--- ὁ
κτίζοντι V1--PAPDSM κτίζω
τοῦ RA--GSN--- ὁ
ἀναστῆσαι VA--AAN--- ἵστημι ἀνα
τὸν RA--ASM--- ὁ
ναὸν N2--ASM--- ναός
τοῦτον RD--ASM--- οὗτος

Hag 2:10
τετράδι M---DSF--- τετράς
καὶ C--------- καί
εἰκάδι N3D-DSF--- εἰκάς
τοῦ RA--GSM--- ὁ
ἐνάτου A1--GSM--- ἔνατος
μηνὸς N3--GSM--- μήν
ἔτους N3E-GSN--- ἔτος
δευτέρου A1A-GSM--- δεύτερος
ἐπὶ P--------- ἐπί
Δαρείου N2--GSM--- Δαρείος
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρὸς P--------- πρός
Αγγαιον N2--ASN--- Αγγαιος
τὸν RA--ASM--- ὁ
προφήτην N1M-ASM--- προφήτης
λέγων V1--PAPNSM λέγω

Hag 2:11
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
ἐπερώτησον VA--AAD2S- ἐρωτάω ἐπι
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
νόμον N2--ASM--- νόμος
λέγων V1--PAPNSM λέγω

Hag 2:12
ἐὰν C--------- ἐάν
λάβῃ VB--AAS3S- λαμβάνω
ἄνθρωπος N2--NSM--- ἄνθρωπος
κρέας N3--ASN--- κρέας
ἅγιον A1A-ASN--- ἅγιος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἄκρῳ A1A-DSM--- ἄκρος
τοῦ RA--GSN--- ὁ
ἱματίου N2N-GSN--- ἱμάτιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἅψηται VA--AMS3S- ἅπτομαι
τὸ RA--NSN--- ὁ
ἄκρον A1A-NSN--- ἄκρος
τοῦ RA--GSN--- ὁ
ἱματίου N2N-GSN--- ἱμάτιον
αὐτοῦ RD--GSM--- αὐτός
ἄρτου N2--GSM--- ἄρτος
ἢ C--------- ἤ
ἑψέματος N3M-GSN--- ἕψεμα
ἢ C--------- ἤ
οἴνου N2--GSM--- οἶνος
ἢ C--------- ἤ
ἐλαίου N2N-GSN--- ἔλαιον
ἢ C--------- ἤ
παντὸς A1S-GSN--- πᾶς
βρώματος N3M-GSN--- βρῶμα
εἰ C--------- εἰ
ἁγιασθήσεται VS--FPI3S- ἁγιάζω
καὶ C--------- καί
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
οὔ D--------- οὐ

Hag 2:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αγγαιος N2--NSM--- Αγγαιος
ἐὰν C--------- ἐάν
ἅψηται VA--AMS3S- ἅπτομαι
μεμιαμμένος VM--XMPNSM μιαίνω
ἐπὶ P--------- ἐπί
ψυχῇ N1--DSF--- ψυχή
ἀπὸ P--------- ἀπό
παντὸς A1S-GSN--- πᾶς
τούτων RD--GPN--- οὗτος
εἰ C--------- εἰ
μιανθήσεται VC--FPI3S- μιαίνω
καὶ C--------- καί
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
μιανθήσεται VC--FPI3S- μιαίνω

Hag 2:14
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Αγγαιος N2--NSM--- Αγγαιος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
οὕτως D--------- οὕτως
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
οὗτος RD--NSM--- οὗτος
καὶ D--------- καί
οὕτως D--------- οὕτως
τὸ RA--NSN--- ὁ
ἔθνος N3E-NSN--- ἔθνος
τοῦτο RD--NSN--- οὗτος
ἐνώπιον P--------- ἐνώπιον
ἐμοῦ RP--GS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
οὕτως D--------- οὕτως
πάντα A1S-NPN--- πᾶς
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὃς RR--NSM--- ὅς
ἐὰν C--------- ἐάν
ἐγγίσῃ VA--AAS3S- ἐγγίζω
ἐκεῖ D--------- ἐκεῖ
μιανθήσεται VC--FPI3S- μιαίνω
ἕνεκεν P--------- ἕνεκεν
τῶν RA--GPN--- ὁ
λημμάτων N3M-GPN--- λῆμμα
αὐτῶν RD--GPM--- αὐτός
τῶν RA--GPN--- ὁ
ὀρθρινῶν A1--GPN--- ὀρθρινός
ὀδυνηθήσονται VC--FPI3P- ὀδυνάω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
πόνων N2--GPM--- πόνος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐμισεῖτε V2I-IAI2P- μισέω
ἐν P--------- ἐν
πύλαις N1--DPF--- πύλη
ἐλέγχοντας V1--PAPAPM ἐλέγχω

Hag 2:15
καὶ C--------- καί
νῦν D--------- νῦν
θέσθε VE--AMD2P- τίθημι
δὴ X--------- δή
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
καρδίας N1A-APF--- καρδία
ὑμῶν RP--GP---- σύ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
καὶ C--------- καί
ὑπεράνω D--------- ὑπεράνω
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
θεῖναι VE--AAN--- τίθημι
λίθον N2--ASM--- λίθος
