Bar 1:1
λόγον N2--ASM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
ὃν RR--ASM--- ὅς
ἐλάλησεν VAI-AAI3S- λαλέω
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
δικαστὰς N1M-APM--- δικαστής
ἡμῶν RP--GP---- ἐγώ
τοὺς RA--APM--- ὁ
δικάσαντας VA--AAPAPM δικάζω
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
βασιλεῖς N3V-APM--- βασιλεύς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ἄνθρωπον N2--ASM--- ἄνθρωπος
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
Ιουδα N---GSM--- Ιουδα

Bar 2:2
οὐκ D--------- οὐ
ἐποιήθη VCI-API3S- ποιέω
ὑποκάτω P--------- ὑποκάτω
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καθὰ D--------- καθά
ἐποίησεν VAI-AAI3S- ποιέω
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
γεγραμμένα VP--XMPAPN γράφω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
νόμῳ N2--DSM--- νόμος
Μωυσῆ N1M-GSM--- Μωυσῆς

Bar 2:3
τοῦ RA--GSN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω
ἡμᾶς RP--AP---- ἐγώ
ἄνθρωπον N2--ASM--- ἄνθρωπος
σάρκας N3K-APF--- σάρξ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἄνθρωπον N2--ASM--- ἄνθρωπος
σάρκας N3K-APF--- σάρξ
θυγατρὸς N3--GSF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός

Bar 2:4
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτοὺς RD--APM--- αὐτός
ὑποχειρίους A1A-APM--- ὑποχείριος
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
βασιλείαις N1A-DPF--- βασιλεία
ταῖς RA--DPF--- ὁ
κύκλῳ N2--DSM--- κύκλος
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
καὶ C--------- καί
εἰς P--------- εἰς
ἄβατον A1B-ASM--- ἄβατος
ἐν P--------- ἐν
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
λαοῖς N2--DPM--- λαός
τοῖς RA--DPM--- ὁ
κύκλῳ N2--DSM--- κύκλος
οὗ RR--GSM--- ὅς
διέσπειρεν VAI-AAI3S- σπείρω δια
αὐτοὺς RD--APM--- αὐτός
κύριος N2--NSM--- κύριος
ἐκεῖ D--------- ἐκεῖ

Bar 2:5
καὶ C--------- καί
ἐγενήθησαν VCI-API3P- γίγνομαι
ὑποκάτω P--------- ὑποκάτω
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπάνω D--------- ἐπάνω
ὅτι C--------- ὅτι
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
ἡμῶν RP--GP---- ἐγώ
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
μὴ D--------- μή
ἀκούειν V1--PAN--- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
αὐτοῦ RD--GSM--- αὐτός

Bar 2:6
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἡ RA--NSF--- ὁ
δικαιοσύνη N1--NSF--- δικαιοσύνη
ἡμῖν RP--DP---- ἐγώ
δὲ X--------- δέ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἡ RA--NSF--- ὁ
αἰσχύνη N1--NSF--- αἰσχύνη
τῶν RA--GPN--- ὁ
προσώπων N2N-GPN--- πρόσωπον
ὡς D--------- ὡς
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
αὕτη RD--NSF--- οὗτος

Bar 2:7
ἃ RR--APN--- ὅς
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
κακὰ A1--NPN--- κακός
ταῦτα RD--NPN--- οὗτος
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ

Bar 2:8
καὶ C--------- καί
οὐκ D--------- οὐ
ἐδεήθημεν VCI-API1P- δέω
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
τοῦ RA--GSN--- ὁ
ἀποστρέψαι VA--AAN--- στρέφω ἀπο
ἕκαστον A1--ASM--- ἕκαστος
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
νοημάτων N3T-GPN--- νόημα
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
τῆς RA--GSF--- ὁ
πονηρᾶς A1A-GSF--- πονηρός

Bar 2:9
καὶ C--------- καί
ἐγρηγόρησεν VAI-AAI3S- γρηγορέω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
τοῖς RA--DPN--- ὁ
κακοῖς A1--DPN--- κακός
καὶ C--------- καί
ἐπήγαγε VBI-AAI3S- ἄγω ἐπι
κύριος N2--NSM--- κύριος
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
ὅτι C--------- ὅτι
δίκαιος A1A-NSM--- δίκαιος
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός
ἃ RR--APN--- ὅς
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
ἡμῖν RP--DP---- ἐγώ

Bar 2:10
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσαμεν VAI-AAI1P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
αὐτοῦ RD--GSM--- αὐτός
πορεύεσθαι V1--PMN--- πορεύομαι
τοῖς RA--DPN--- ὁ
προστάγμασιν N3M-DPN--- πρόσταγμα
κυρίου N2--GSM--- κύριος
οἷς RR--DPN--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
ἡμῶν RP--GP---- ἐγώ

