βασιλεῖς N3V-NPM--- βασιλεύς
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
οὐκ D--------- οὐ
ἠγάγοσαν VBI-AAI3P- ἄγω
πασχα N---ASN--- πασχα
τοιοῦτον A1--ASN--- τοιοῦτος
οἷον A1A-ASN--- οἷος
ἤγαγεν VBI-AAI3S- ἄγω
Ιωσιας N1T-NSM--- Ιωσίας
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευείτης
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Ιουδαῖοι N2--NPM--- Ἰουδαῖος
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
Ισραηλ N---NSM--- Ἰσραήλ
οἱ RA--NPM--- ὁ
εὑρεθέντες VC--APPNPM εὑρίσκω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κατοικήσει N3I-DSF--- κατοίκησις
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Ezr 1:20
ὀκτωκαιδεκάτῳ A1--DSN--- ὀκτωκαιδέκατος
ἔτει N3E-DSN--- ἔτος
βασιλεύοντος V1--PAPGSM βασιλεύω
Ιωσιου N1T-GSM--- Ιωσίας
ἤχθη VQ--API3S- ἄχθος
τὸ RA--NSN--- ὁ
πασχα N---NSN--- πασχα
τοῦτο RD--NSN--- οὗτος

Ezr 1:21
καὶ C--------- καί
ὠρθώθη VCI-API3S- ὀρθόω
τὰ RA--NPN--- ὁ
ἔργα N2N-NPN--- ἔργον
Ιωσιου N1T-GSM--- Ιωσίας
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
καρδίᾳ N1A-DSF--- καρδία
πλήρει A3H-DSF--- πλήρης
εὐσεβείας N1A-GSF--- εὐσέβεια

Ezr 1:22
καὶ C--------- καί
τὰ RA--NPN--- ὁ
κατ' P--------- κατά
αὐτὸν RD--ASM--- αὐτός
δὲ X--------- δέ
ἀναγέγραπται VP--XMI3S- γράφω ἀνα
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ἔμπροσθεν D--------- ἔμπροσθεν
χρόνοις N2--DPM--- χρόνος
περὶ P--------- περί
τῶν RA--GPN--- ὁ
ἡμαρτηκότων VX--XAPGPN ἁμαρτάνω
καὶ C--------- καί
ἠσεβηκότων VX--XAPGPN ἀσεβέω
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
κύριον N2--ASM--- κύριος
παρὰ P--------- παρά
πᾶν A3--ASN--- πᾶς
ἔθνος N3E-ASN--- ἔθνος
καὶ C--------- καί
βασιλείαν N1A-ASF--- βασιλεία
καὶ C--------- καί
ἃ RR--APN--- ὅς
ἐλύπησαν VAI-AAI3P- λυπέω
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
αἰσθήσει N3I-DSF--- αἴσθησις
καὶ C--------- καί
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἀνέστησαν VHI-AAI3P- ἵστημι ἀνα
ἐπὶ P--------- ἐπί
Ισραηλ N---DSM--- Ἰσραήλ

Ezr 1:23
καὶ C--------- καί
μετὰ P--------- μετά
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
πρᾶξιν N3I-ASF--- πρᾶξις
ταύτην RD--ASF--- οὗτος
Ιωσιου N1T-GSM--- Ιωσίας
συνέβη VZI-AAI3S- βαίνω συν
Φαραω N---ASM--- Φαραώ
βασιλέα N3V-ASM--- βασιλεύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἐλθόντα VB--AAPASM ἔρχομαι
πόλεμον N2--ASM--- πόλεμος
ἐγεῖραι VA--AAN--- ἐγείρω
ἐν P--------- ἐν
Χαρκαμυς N---DS---- Χαρκαμυς
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
Εὐφράτου N1M-GSM--- Εὐφράτης
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
εἰς P--------- εἰς
ἀπάντησιν N3I-ASF--- ἀπάντησις
αὐτῷ RD--DSM--- αὐτός
Ιωσιας N1T-NSM--- Ιωσίας

