010115 C- -------- δὲ δὲ δέ δέ
010115 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010115 RA ----ASM- τὸν τὸν τόν ὁ
010115 N- ----ASM- Ἰακώβ, Ἰακώβ Ἰακώβ Ἰακώβ
010116 N- ----NSM- Ἰακὼβ Ἰακὼβ Ἰακώβ Ἰακώβ
010116 C- -------- δὲ δὲ δέ δέ
010116 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010116 RA ----ASM- τὸν τὸν τόν ὁ
010116 N- ----ASM- Ἰωσὴφ Ἰωσὴφ Ἰωσήφ Ἰωσήφ
010116 RA ----ASM- τὸν τὸν τόν ὁ
010116 N- ----ASM- ἄνδρα ἄνδρα ἄνδρα ἀνήρ
010116 N- ----GSF- Μαρίας, Μαρίας Μαρίας Μαρία
010116 P- -------- ἐξ ἐξ ἐκ ἐκ
010116 RR ----GSF- ἧς ἧς ἧς ὅς
010116 V- 3API-S-- ἐγεννήθη ἐγεννήθη ἐγεννήθη γεννάω
010116 N- ----NSM- Ἰησοῦς Ἰησοῦς Ἰησοῦς Ἰησοῦς
010116 RA ----NSM- ὁ ὁ ὁ ὁ
010116 V- -PPPNSM- λεγόμενος λεγόμενος λεγόμενος λέγω
010116 N- ----NSM- χριστός. χριστός Χριστός Χριστός
010117 A- ----NPF- Πᾶσαι Πᾶσαι πᾶσαι πᾶς
010117 C- -------- οὖν οὖν οὖν οὖν
010117 RA ----NPF- αἱ αἱ αἱ ὁ
010117 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
010117 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
010117 N- ----GSM- Ἀβραὰμ Ἀβραὰμ Ἀβραάμ Ἀβραάμ
010117 P- -------- ἕως ἕως ἕως ἕως
010117 N- ----GSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010117 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
010117 A- ----NPF- δεκατέσσαρες, δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
010117 C- -------- καὶ καὶ καί καί
010117 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
010117 N- ----GSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010117 P- -------- ἕως ἕως ἕως ἕως
010117 RA ----GSF- τῆς τῆς τῆς ὁ
010117 N- ----GSF- μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
010117 N- ----GSF- Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
010117 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
010117 A- ----NPF- δεκατέσσαρες, δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
010117 C- -------- καὶ καὶ καί καί
010117 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
010117 RA ----GSF- τῆς τῆς τῆς ὁ
010117 N- ----GSF- μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
010117 N- ----GSF- Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
